order_id,pizza_id,quantity
1,keema_do_pyaza_s,1
2,double_cheese_margherita_s,3
2,peri-peri_chicken_xl,3
3,mexican_cheese_wave_l,2
3,cheese_n_corn_s,2
3,veggie_paradise_l,3
3,chicken_fiesta_l,2
3,paneer_makhani_s,3
4,deluxe_veggie_m,2
4,veggie_paradise_xl,2
4,peri-peri_chicken_l,1
4,margherita_l,3
5,paneer_makhani_l,3
5,veggie_paradise_xl,1
5,four_cheese_m,2
5,farmhouse_s,1
6,pepper_barbecue_chicken_l,3
6,double_cheese_margherita_s,3
6,peppy_paneer_s,3
7,pepper_barbecue_chicken_l,3
7,classic_hand_tossed_s,2
7,cheese_burst_m,3
7,chicken_fiesta_s,3
8,pepper_barbecue_chicken_xl,2
8,chicken_golden_delight_s,2
9,margherita_m,2
9,veggie_paradise_s,1
9,margherita_m,3
9,margherita_m,3
10,cheese_burst_s,1
11,cheesy_italiano_m,1
11,chicken_dominator_xl,3
11,deluxe_veggie_s,2
11,deluxe_veggie_m,2
11,peri-peri_chicken_m,1
12,peri-peri_chicken_m,1
13,chicken_fiesta_m,1
13,indi_tandoori_paneer_l,1
14,mexican_cheese_wave_m,2
14,deluxe_veggie_m,1
14,peri-peri_chicken_l,2
15,margherita_l,1
16,keema_do_pyaza_xl,3
16,peri-peri_chicken_l,1
16,keema_do_pyaza_s,1
16,chicken_dominator_s,2
17,chicken_fiesta_l,3
17,peppy_paneer_m,1
17,indi_tandoori_paneer_xl,2
18,chicken_golden_delight_xl,1
18,deluxe_veggie_l,1
18,peri-peri_chicken_xl,3
18,mexican_cheese_wave_xl,1
18,keema_do_pyaza_xl,3
19,classic_hand_tossed_s,1
19,four_cheese_m,2
19,keema_do_pyaza_m,2
19,pepper_barbecue_chicken_l,1
19,chicken_dominator_l,2
20,classic_hand_tossed_xl,2
21,chicken_dominator_xl,2
21,margherita_m,2
22,chicken_dominator_l,2
22,veggie_paradise_s,1
23,indi_tandoori_paneer_xl,1
23,farmhouse_s,1
23,chicken_golden_delight_xl,2
23,double_cheese_margherita_xl,2
23,veggie_paradise_s,3
24,pepper_barbecue_chicken_xl,1
24,classic_hand_tossed_s,1
24,deluxe_veggie_xl,3
24,four_cheese_xl,2
25,farmhouse_xl,1
25,farmhouse_s,1
26,cheese_n_corn_l,1
26,four_cheese_l,2
26,deluxe_veggie_m,1
26,keema_do_pyaza_m,2
26,pepper_barbecue_chicken_m,2
27,keema_do_pyaza_l,1
27,margherita_m,2
27,mexican_cheese_wave_xl,2
27,indi_tandoori_paneer_m,2
27,margherita_xl,1
28,classic_hand_tossed_xl,1
29,cheese_n_corn_l,3
29,margherita_m,1
30,pepper_barbecue_chicken_xl,3
30,mexican_cheese_wave_xl,1
30,pepper_barbecue_chicken_s,1
30,mexican_cheese_wave_m,1
31,peppy_paneer_xl,1
31,pepper_barbecue_chicken_l,3
32,keema_do_pyaza_s,1
32,double_cheese_margherita_m,2
32,peppy_paneer_m,3
32,four_cheese_m,2
33,chicken_dominator_xl,1
33,margherita_xl,2
34,peri-peri_chicken_xl,3
34,cheesy_italiano_s,1
34,classic_hand_tossed_xl,1
35,chicken_dominator_m,3
35,peppy_paneer_s,2
35,margherita_s,2
35,peri-peri_chicken_s,2
35,chicken_fiesta_xl,2
36,deluxe_veggie_l,1
37,chicken_golden_delight_m,1
37,chicken_dominator_xl,2
37,deluxe_veggie_l,1
38,margherita_m,1
38,cheese_n_corn_xl,1
38,pepper_barbecue_chicken_xl,3
38,peri-peri_chicken_l,1
39,margherita_l,3
39,peri-peri_chicken_l,2
40,classic_hand_tossed_s,1
40,four_cheese_s,3
40,margherita_l,1
40,chicken_dominator_xl,2
41,cheese_n_corn_s,1
41,chicken_fiesta_s,1
41,classic_hand_tossed_s,2
42,mexican_cheese_wave_xl,3
43,paneer_makhani_xl,1
43,deluxe_veggie_m,2
43,cheese_burst_s,3
44,keema_do_pyaza_l,3
44,cheese_burst_s,1
44,four_cheese_s,1
45,veggie_paradise_m,1
45,keema_do_pyaza_m,3
46,cheese_n_corn_s,3
47,peppy_paneer_xl,1
47,cheesy_italiano_xl,3
47,four_cheese_xl,3
47,chicken_golden_delight_s,3
47,indi_tandoori_paneer_m,3
48,peri-peri_chicken_s,2
48,paneer_makhani_xl,2
48,double_cheese_margherita_m,3
48,cheesy_italiano_m,1
49,mexican_cheese_wave_xl,2
49,farmhouse_xl,1
50,double_cheese_margherita_xl,2
50,chicken_golden_delight_xl,2
50,peri-peri_chicken_m,1
50,double_cheese_margherita_m,3
50,chicken_fiesta_m,2
51,peppy_paneer_xl,3
51,veggie_paradise_l,3
51,farmhouse_s,2
51,chicken_golden_delight_m,3
51,keema_do_pyaza_s,1
52,cheesy_italiano_xl,2
53,farmhouse_l,2
54,double_cheese_margherita_xl,1
54,four_cheese_l,3
54,deluxe_veggie_s,1
54,cheese_n_corn_m,1
54,peri-peri_chicken_xl,3
55,double_cheese_margherita_m,2
55,peri-peri_chicken_l,2
55,farmhouse_m,3
56,veggie_paradise_xl,1
56,keema_do_pyaza_m,3
57,cheese_n_corn_s,2
57,cheesy_italiano_xl,1
57,deluxe_veggie_l,3
57,margherita_m,1
58,chicken_dominator_m,1
59,deluxe_veggie_l,1
59,cheese_burst_m,2
59,margherita_s,1
59,pepper_barbecue_chicken_xl,1
60,margherita_l,1
61,double_cheese_margherita_l,2
61,chicken_fiesta_xl,2
61,four_cheese_xl,2
61,chicken_fiesta_l,3
61,veggie_paradise_l,3
62,margherita_s,3
63,keema_do_pyaza_m,3
63,peppy_paneer_xl,1
63,peri-peri_chicken_s,1
63,four_cheese_xl,1
63,margherita_l,3
64,four_cheese_m,3
65,chicken_fiesta_l,1
65,classic_hand_tossed_xl,1
66,keema_do_pyaza_l,3
66,paneer_makhani_s,3
66,mexican_cheese_wave_l,3
66,indi_tandoori_paneer_xl,1
67,margherita_m,3
67,cheese_n_corn_xl,2
67,paneer_makhani_m,1
67,paneer_makhani_l,2
68,peri-peri_chicken_m,2
68,chicken_fiesta_xl,1
68,farmhouse_l,1
68,indi_tandoori_paneer_s,3
69,peri-peri_chicken_xl,3
69,chicken_fiesta_s,1
69,cheesy_italiano_xl,1
69,veggie_paradise_s,3
69,chicken_fiesta_xl,2
70,veggie_paradise_s,3
71,cheese_n_corn_s,1
72,paneer_makhani_xl,3
72,cheese_burst_xl,3
72,peri-peri_chicken_m,2
72,double_cheese_margherita_s,1
72,keema_do_pyaza_m,2
73,margherita_l,1
73,peri-peri_chicken_m,3
74,peppy_paneer_s,2
75,cheese_n_corn_m,1
75,peri-peri_chicken_xl,2
76,margherita_xl,2
76,cheese_n_corn_m,2
76,keema_do_pyaza_m,3
76,indi_tandoori_paneer_s,2
77,keema_do_pyaza_l,3
77,peri-peri_chicken_l,2
77,cheesy_italiano_xl,2
78,farmhouse_l,1
78,farmhouse_xl,3
79,peri-peri_chicken_l,3
79,margherita_l,1
80,peppy_paneer_xl,3
80,double_cheese_margherita_s,1
80,deluxe_veggie_m,3
80,chicken_fiesta_s,3
80,mexican_cheese_wave_m,3
81,margherita_s,1
81,four_cheese_l,1
